TypeofFusionData,TetheredVesicle
Label,FluVid
FrameAllVirusStoppedBy,NaN
FrametoEndAnalysis,NaN
AdditionalFocusFrameNumbers,[]
ChangepHNumber,[]
TimeInterval,0.5
FrameToStartAnalysis,1
StartingTraceNumber,1
MinImageShow,90
MaxImageShow,900
NumFramesToClip,2
RunMedHalfLength,0
GradientThreshold,5
NumFramesBetweenGradientEvents,10
RunMedHalfLengthSpike,5
SpikeThreshold,10
NumFramesBetweenSpikeEvents,12
NumberFramesBackToSubtract,25
DifferenceTraceThreshold,14
ClusterSizePosConsideredFastFusion,15
ClusterSizeNegConsideredFastFusion,15
NumFramesBetweenDifferentClusters,15
BobStyleSave,n
UseFullFileNameAsLabel,n
NoFusionAllowedBeforepHDrop,n
ClipFramesAtEnd,n
